"c3","date","country","COLLEGE","SG","SJ","COMM","ECFIN","ENTR","COMP","EMPL","AGRI","MOVE","ENER","ENV","CLIMA","RTD","JRC","INFSO","MARE","MARKT","REGIO","TAXUD","EAC","HOME","JUST","FPI","TRADE","DEVCO","ECHO","ESTAT","HR","DIGIT","BUDG","IAS","OLAF","SCIC","DGT","OP","OIB","PMO","OIL","EPSO","CdP.OSP","CNECT","GROW","FISMA","SANTE","NEAR","NON.ASSIGN.DG","TF50","SRSS","DEFIS","IDEA","REFORM","UKTF","total","INTPA","HERA","year","month","spring"
"SVN",2014-12-01,"Slovenia",10,1,5,13,7,6,5,5,6,0,1,5,2,6,13,0,0,3,4,3,3,3,2,0,5,3,3,4,1,0,0,1,1,13,70,9,1,0,1,0,0,5,0,0,8,3,0,0,0,0,0,0,0,462,0,0,2014,12,0
"SVN",2015-01-01,"Slovenia",10,2,6,23,6,0,7,6,7,0,1,7,2,7,15,0,0,0,5,3,3,3,2,0,4,4,4,4,1,0,1,1,1,13,78,10,2,0,1,0,0,6,8,4,10,9,0,0,0,0,0,0,0,552,0,0,2015,1,1
"SWE",2018-10-01,"Sweden",11,9,4,27,15,0,14,7,17,7,18,7,6,15,29,0,10,0,8,4,8,15,12,3,22,26,9,27,15,3,6,0,2,15,69,7,4,2,0,4,0,16,14,8,11,16,0,0,0,0,1,0,0,523,0,0,2018,10,0
"SWE",2016-01-01,"Sweden",12,7,5,28,14,0,18,10,17,5,18,9,6,18,29,0,10,0,12,8,5,15,11,3,19,25,12,26,11,4,6,1,3,15,76,11,3,2,0,6,0,20,16,8,9,21,0,0,0,0,1,0,0,1110,0,0,2016,1,1
"SWE",2012-12-01,"Sweden",13,7,7,17,21,12,20,10,16,7,15,14,4,18,27,0,10,8,10,7,6,7,8,2,21,29,7,26,13,2,9,0,5,16,78,12,1,0,0,5,0,20,0,0,10,10,0,0,0,0,0,0,0,1060,0,0,2012,12,0
"SWE",2019-04-03,"Sweden",11,10,4,26,13,0,14,7,17,8,18,7,6,14,29,0,9,0,8,4,8,16,12,3,20,26,9,26,17,3,6,1,2,15,72,7,4,2,0,4,0,15,14,7,11,17,0,0,0,0,1,0,0,523,0,0,2019,4,1
"SWE",2017-01-01,"Sweden",12,8,5,28,15,0,16,12,17,4,18,9,6,17,32,0,10,0,10,7,6,14,12,1,21,27,11,26,12,3,6,1,3,15,76,10,3,2,0,6,0,18,14,7,11,21,0,0,0,0,1,0,0,1106,0,0,2017,1,1
"SWE",2019-01-01,"Sweden",11,9,4,27,13,0,15,8,17,8,18,7,6,14,27,0,9,0,8,4,8,15,12,3,23,26,9,27,17,3,6,0,2,15,71,7,4,2,0,4,0,16,13,7,12,17,0,0,0,0,1,0,0,525,0,0,2019,1,1
"SWE",2013-12-01,"Sweden",10,7,7,18,20,12,19,9,15,6,14,11,6,16,26,0,11,8,9,8,5,9,8,2,21,30,6,26,15,3,7,0,6,15,81,12,1,1,0,5,0,20,0,0,12,10,0,0,0,0,0,0,0,1054,0,0,2013,12,0
"SWE",2018-01-01,"Sweden",11,9,6,28,13,0,13,9,18,7,17,6,6,14,31,0,10,0,8,5,7,14,15,1,23,25,9,27,14,3,6,1,2,15,70,10,4,2,0,5,0,17,14,8,11,18,0,0,0,0,1,0,0,1066,0,0,2018,1,1
